date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,0,null,0,0,null
2020-02-16,0,null,0,0,null
2020-02-17,0,null,0,0,null
2020-02-18,0,null,0,0,null
2020-02-19,0,null,0,0,null
2020-02-20,0,null,0,0,null
2020-02-21,0,null,0,0,null
2020-02-22,0,null,0,0,null
2020-02-23,0,null,0,0,null
2020-02-24,0,null,0,0,null
2020-02-25,0,null,0,0,null
2020-02-26,0,null,0,0,null
2020-02-27,0,null,0,0,null
2020-02-28,0,null,0,0,null
2020-02-29,0,null,0,0,null
2020-03-01,0,null,0,0,null
2020-03-02,0,null,0,0,null
2020-03-03,0,null,0,0,null
2020-03-04,0,null,0,0,null
2020-03-05,0,null,0,0,null
2020-03-06,1,null,1,0,null
2020-03-07,6,5,6,0,null
2020-03-08,7,1,7,0,null
2020-03-09,9,2,9,0,null
2020-03-10,11,2,11,0,null
2020-03-11,17,6,17,0,null
2020-03-12,22,5,22,0,null
2020-03-13,38,16,38,0,null
2020-03-14,43,5,43,0,null
2020-03-15,71,28,71,0,null
2020-03-16,86,15,85,0,null
2020-03-17,117,31,116,0,null
2020-03-18,145,28,144,0,null
2020-03-19,234,89,232,1,null
2020-03-20,263,29,258,4,3
2020-03-21,318,55,312,5,1
2020-03-22,363,45,357,5,0
2020-03-23,395,32,389,5,0
2020-03-24,416,21,408,7,2
2020-03-25,480,64,470,9,2
2020-03-26,580,100,557,9,0
2020-03-27,635,55,608,11,2
2020-03-28,671,36,639,16,5
2020-03-29,852,181,818,18,2
2020-03-30,950,98,873,24,6
2020-03-31,1065,115,641,30,6
2020-04-01,1323,258,891,38,8
2020-04-02,1414,91,822,55,17
2020-04-03,1595,181,997,61,6
2020-04-04,1746,151,759,73,12
2020-04-05,2281,535,1209,83,10
2020-04-06,2561,280,1472,92,9
2020-04-07,2954,393,1546,107,15
2020-04-08,4342,1388,2888,121,14
2020-04-09,5256,914,3680,138,17
2020-04-10,5897,641,4159,169,31
2020-04-11,6848,951,4928,181,12
2020-04-12,7519,671,5528,193,12
2020-04-13,9784,2265,6926,216,23
2020-04-14,10303,519,7204,230,14
2020-04-15,11475,1172,8113,254,24
2020-04-16,12491,1016,6097,274,20
2020-04-17,13489,998,6648,300,26
2020-04-18,14420,931,7388,348,48
2020-04-19,15628,1208,8417,400,52
2020-04-20,16325,697,8912,445,45
2020-04-21,17837,1512,10371,484,39
2020-04-22,19250,1413,11693,530,46
2020-04-23,20914,1664,12920,572,42
2020-04-24,21648,734,13518,634,62
2020-04-25,25331,3683,16834,700,66
2020-04-26,27517,2186,18701,728,28
2020-04-27,28699,1182,19492,782,54
2020-04-28,31190,2491,21157,854,72
2020-04-29,33931,2741,22951,943,89
2020-04-30,36976,3045,25520,1051,108
2020-05-01,40459,3483,28206,1124,73
2020-05-02,42534,2075,28900,1200,76
2020-05-03,45928,3394,31092,1286,86
2020-05-04,47372,1444,31601,1344,58
2020-05-05,51189,3817,34332,1444,100
2020-05-06,54817,3628,35757,1533,89
2020-05-07,58526,3709,38511,1627,94
2020-05-08,61847,3321,41121,1714,87
2020-05-09,65015,3168,42955,1814,100
2020-05-10,67307,2292,44069,1889,75
2020-05-11,68822,1515,44455,1961,72
2020-05-12,72059,3237,46678,2057,96
2020-05-13,76306,4247,49813,2169,112
2020-05-14,80604,4298,53186,2267,98
2020-05-15,84495,3891,54956,2392,125
2020-05-16,88541,4046,57746,2523,131
2020-05-17,92273,3732,61004,2648,125
2020-05-18,94933,2660,61838,2789,141
2020-05-19,99483,4550,60045,2914,125
2020-05-20,104020,4537,59028,3024,110
2020-05-21,108769,4749,62034,3148,124
2020-05-22,111698,2929,63606,3244,96
2020-05-23,115754,4056,64466,3373,129
2020-05-24,119959,4205,66708,3456,83
2020-05-25,123979,4020,69401,3629,173
2020-05-26,129751,5772,73057,3788,159
2020-05-27,135905,6154,75753,3983,195
2020-05-28,141779,5874,78238,4099,116
2020-05-29,148285,6506,81264,4230,131
2020-05-30,155671,7386,84853,4371,141
2020-05-31,164476,8805,92762,4506,135
2020-06-01,170039,5563,96898,4634,128
2020-06-02,174884,4845,100860,4767,133
2020-06-03,178914,4030,101701,4894,127
2020-06-04,183198,4284,101939,5031,137
2020-06-05,187400,4202,103024,5162,131
2020-06-06,191758,4358,103726,5301,139
2020-06-07,196515,4757,104831,5465,164
